date,open,high,low,close,volume,returns,volatility_20d,cum_returns,rolling_max,drawdown,vol_state,risk_regime,risk_signal,hmm_state
2010-05-20,4924.2998046875,4980.25,4924.2998046875,4947.60009765625,0,0.005681338279617032,0.21251916734659507,0.945606038180416,1.027225584211947,-0.07945630179581914,High Volatility,Medium Risk,NEUTRAL,0
2010-05-21,4946.7001953125,4946.7001953125,4842.2998046875,4931.14990234375,0,-0.003324883779570742,0.2094365247499852,0.9424620080022058,1.027225584211947,-0.08251700260636426,High Volatility,Medium Risk,NEUTRAL,0
2010-05-24,4944.2998046875,5029.5498046875,4923.4501953125,4943.9501953125,0,0.0025958028496895214,0.20907486388648722,0.944908453568302,1.027225584211947,-0.08013539762718822,High Volatility,Medium Risk,NEUTRAL,0
2010-05-25,4945.2998046875,4946.60009765625,4786.4501953125,4806.75,0,-0.027751128124750002,0.2258734893540741,0.9186861780071687,1.027225584211947,-0.10566267806505832,High Volatility,Medium Risk,NEUTRAL,2
2010-05-26,4807.2998046875,4925.4501953125,4807.2998046875,4917.39990234375,0,0.02301969154704331,0.24106869246377835,0.9398340504534258,1.027225584211947,-0.08507530877510719,High Volatility,Medium Risk,NEUTRAL,2
2010-05-27,4915.14990234375,5016.60009765625,4897.60009765625,5003.10009765625,0,0.01742794912239165,0.24919232152950388,0.9562134304682194,1.027225584211947,-0.06913004780561988,High Volatility,Medium Risk,NEUTRAL,2
2010-05-28,5005.60009765625,5077.25,5005.60009765625,5066.5498046875,0,0.012682078270025654,0.2538023505037841,0.9683402040362671,1.027225584211947,-0.057324682212675705,High Volatility,Medium Risk,NEUTRAL,2
2010-05-31,5076.10009765625,5097.60009765625,5038.5498046875,5086.2998046875,0,0.003898116225311332,0.2525055321169845,0.9721149066972421,1.027225584211947,-0.05365002426120846,High Volatility,Medium Risk,NEUTRAL,2
2010-06-01,5086.25,5086.9501953125,4961.0498046875,4970.2001953125,0,-0.02282594692275186,0.2601249035574786,0.949925463434155,1.027225584211947,-0.07525135857776964,High Volatility,Medium Risk,NEUTRAL,2
2010-06-02,4970.75,5031.2001953125,4967.0498046875,5019.85009765625,0,0.009989517603451015,0.2630596159979937,0.9594147605730968,1.027225584211947,-0.06601356574551485,High Volatility,Medium Risk,NEUTRAL,2
2010-06-03,5020.14990234375,5125.7001953125,5020.14990234375,5110.5,0,0.018058288709870807,0.2704221145140586,0.9767401493120373,1.027225584211947,-0.049147369064644626,High Volatility,Medium Risk,NEUTRAL,2
2010-06-04,5112.60009765625,5147.89990234375,5091.60009765625,5135.5,0,0.004891889247627512,0.26518054164522215,0.981518253946183,1.027225584211947,-0.04449590330329365,High Volatility,Medium Risk,NEUTRAL,2
2010-06-07,5132.9501953125,5132.9501953125,5004.25,5034.0,0,-0.01976438516210688,0.2432186000260232,0.9621191491315519,1.027225584211947,-0.06338085429437841,High Volatility,Medium Risk,NEUTRAL,2
2010-06-08,5036.7001953125,5071.35009765625,4967.2998046875,4987.10009765625,0,-0.009316627402413569,0.24238109701755242,0.9531554435023661,1.027225584211947,-0.07210698589288454,High Volatility,Medium Risk,NEUTRAL,2
2010-06-09,4985.0498046875,5050.60009765625,4980.10009765625,5000.2998046875,0,0.0026467700212100542,0.2420341172680816,0.9556782267557814,1.027225584211947,-0.06965106648025557,High Volatility,Medium Risk,NEUTRAL,2
2010-06-10,4999.60009765625,5085.2001953125,4997.60009765625,5078.60009765625,0,0.01565911965825495,0.24885732812590017,0.9706433064633391,1.027225584211947,-0.05508262120634003,High Volatility,Medium Risk,NEUTRAL,2
2010-06-11,5078.75,5139.0498046875,5078.75,5119.35009765625,0,0.008023864690351656,0.24359417887427343,0.9784316170169964,1.027225584211947,-0.04750073201533794,High Volatility,Medium Risk,NEUTRAL,2
2010-06-14,5120.14990234375,5201.25,5120.14990234375,5197.7001953125,0,0.015304696135574059,0.24766332426845772,0.99340621560488,1.027225584211947,-0.03292302014947595,High Volatility,Medium Risk,NEUTRAL,2
2010-06-15,5201.2998046875,5231.4501953125,5171.0498046875,5222.35009765625,0,0.004742463285200671,0.24793393758550716,0.9981174081096762,1.027225584211947,-0.028336693078572135,High Volatility,Medium Risk,NEUTRAL,0
2010-06-16,5225.0498046875,5255.64990234375,5214.89990234375,5233.35009765625,0,0.002106331401438677,0.22010616489469734,1.0002197741487002,1.027225584211947,-0.02629004814357775,High Volatility,Medium Risk,NEUTRAL,0
2010-06-17,5233.64990234375,5285.5498046875,5206.5498046875,5274.85009765625,0,0.00792991090326356,0.22058829034278812,1.008151427841382,1.027225584211947,-0.018568614979735196,High Volatility,Medium Risk,NEUTRAL,0
2010-06-18,5274.9501953125,5302.2998046875,5245.5,5262.60009765625,0,-0.0023223408766521736,0.22021736077012366,1.0058101565706505,1.027225584211947,-0.020847833202797178,High Volatility,Medium Risk,NEUTRAL,0
