date,returns,bh_returns,rule_strategy_returns,hmm_strategy_returns
2022-07-29,0.013505953826479233,0.013505953826479233,0.006752976913239617,0.0
2022-08-01,0.010595531668439406,0.010595531668439406,0.005297765834219703,0.0
2022-08-02,0.000311327663805816,0.000311327663805816,0.000155663831902908,0.0
2022-08-03,0.002461808358865669,0.002461808358865669,0.0012309041794328346,0.0
2022-08-04,-0.0003537116074355806,-0.0003537116074355806,-0.0001768558037177903,-0.0
2022-08-05,0.0008917270739845495,0.0008917270739845495,0.00044586353699227477,0.0
2022-08-08,0.007334364671648164,0.007334364671648164,0.003667182335824082,0.0
2022-08-10,0.0005506610997998429,0.0005506610997998429,0.00027533054989992145,0.0
2022-08-11,0.007085929368824795,0.007085929368824795,0.007085929368824795,0.0
2022-08-12,0.0022170219505635025,0.0022170219505635025,0.0022170219505635025,0.0
2022-08-16,0.007181519343531395,0.007181519343531395,0.007181519343531395,0.0
2022-08-17,0.006675923198833145,0.006675923198833145,0.006675923198833145,0.0
2022-08-18,0.0006826699360520383,0.0006826699360520383,0.0006826699360520383,0.0
2022-08-19,-0.011029475746944017,-0.011029475746944017,-0.011029475746944017,-0.0
2022-08-22,-0.0150773300473388,-0.0150773300473388,-0.0075386650236694,-0.0
2022-08-23,0.00496268217550444,0.00496268217550444,0.00248134108775222,0.0
2022-08-24,0.001561611079505143,0.001561611079505143,0.0007808055397525715,0.0
2022-08-25,-0.004686182219266755,-0.004686182219266755,-0.0023430911096333773,-0.0
2022-08-26,0.002080255529346653,0.002080255529346653,0.0010401277646733265,0.0
2022-08-29,-0.014009988924553851,-0.014009988924553851,-0.007004994462276926,-0.0
2022-08-30,0.02578426378902554,0.02578426378902554,0.01289213189451277,0.0
2022-09-01,-0.012190795272107646,-0.012190795272107646,-0.006095397636053823,-0.0
2022-09-02,-0.0001910505934481499,-0.0001910505934481499,-9.552529672407495e-05,-0.0
2022-09-05,0.007203850071011875,0.007203850071011875,0.0036019250355059373,0.0
2022-09-06,-0.0005774531254664206,-0.0005774531254664206,-0.0002887265627332103,-0.0
2022-09-07,-0.0017671004916441913,-0.0017671004916441913,-0.0008835502458220956,-0.0
2022-09-08,0.009892512965589573,0.009892512965589573,0.004946256482794786,0.0
2022-09-09,0.0019439347917691308,0.0019439347917691308,0.0009719673958845654,0.0
2022-09-12,0.005775695663245095,0.005775695663245095,0.0028878478316225475,0.0
2022-09-13,0.007454201929980142,0.007454201929980142,0.003727100964990071,0.0
2022-09-14,-0.0036690976717561608,-0.0036690976717561608,-0.0018345488358780804,-0.0
2022-09-15,-0.007017960667916379,-0.007017960667916379,-0.0035089803339581893,-0.0
2022-09-16,-0.019384853148544656,-0.019384853148544656,-0.009692426574272328,-0.0
2022-09-19,0.0052136885924867205,0.0052136885924867205,0.0026068442962433602,0.0
2022-09-20,0.011008809885230342,0.011008809885230342,0.005504404942615171,0.0
2022-09-21,-0.005495005437451739,-0.005495005437451739,-0.0027475027187258694,-0.0
2022-09-22,-0.004997577656902563,-0.004997577656902563,-0.0024987888284512816,-0.0
2022-09-23,-0.017155677232420508,-0.017155677232420508,-0.008577838616210254,-0.0
2022-09-26,-0.017951321762256445,-0.017951321762256445,-0.008975660881128222,-0.0
2022-09-27,-0.0005230508522044985,-0.0005230508522044985,-0.00026152542610224927,-0.0
2022-09-28,-0.00874917846539458,-0.00874917846539458,-0.00437458923269729,-0.0
2022-09-29,-0.0024023347691036756,-0.0024023347691036756,-0.0012011673845518378,-0.0
2022-09-30,0.01642575596626905,0.01642575596626905,0.008212877983134526,0.0
2022-10-03,-0.012109264448790458,-0.012109264448790458,-0.006054632224395229,-0.0
2022-10-04,0.02291367093271912,0.02291367093271912,0.01145683546635956,0.0
2022-10-06,0.0033286441360573793,0.0033286441360573793,0.0016643220680286896,0.0
2022-10-07,-0.0009895331040011834,-0.0009895331040011834,-0.0004947665520005917,-0.0
2022-10-10,-0.00425364584114718,-0.00425364584114718,-0.00212682292057359,-0.0
2022-10-11,-0.014932383199930399,-0.014932383199930399,-0.0074661915999651995,-0.0
2022-10-12,0.008246145339619648,0.008246145339619648,0.004123072669809824,0.0
2022-10-13,-0.006380083772817624,-0.006380083772817624,-0.003190041886408812,-0.0
2022-10-14,0.010070888003887335,0.010070888003887335,0.0050354440019436675,0.0
2022-10-17,0.007337586960815656,0.007337586960815656,0.003668793480407828,0.0
2022-10-18,0.010117285874136073,0.010117285874136073,0.005058642937068036,0.0
2022-10-19,0.0014468379208691928,0.0014468379208691928,0.0007234189604345964,0.0
2022-10-20,0.0029521745492440132,0.0029521745492440132,0.0014760872746220066,0.0
2022-10-21,0.0007032337856462956,0.0007032337856462956,0.0003516168928231478,0.0
2022-10-24,0.008787356376761757,0.008787356376761757,0.004393678188380878,0.0
2022-10-25,-0.004196122026705051,-0.004196122026705051,-0.0020980610133525257,-0.0
2022-10-27,0.004564907874966551,0.004564907874966551,0.0022824539374832753,0.0
2022-10-28,0.002810605244745412,0.002810605244745412,0.001405302622372706,0.0
2022-10-31,0.012672230395564199,0.012672230395564199,0.0063361151977820995,0.0
2022-11-01,0.007395053222392978,0.007395053222392978,0.003697526611196489,0.007395053222392978
2022-11-02,-0.003447197631545107,-0.003447197631545107,-0.0017235988157725535,-0.003447197631545107
2022-11-03,-0.0016673473084335422,-0.0016673473084335422,-0.0016673473084335422,-0.0016673473084335422
2022-11-04,0.003570168155688336,0.003570168155688336,0.003570168155688336,0.003570168155688336
2022-11-07,0.004727586225111935,0.004727586225111935,0.004727586225111935,0.004727586225111935
2022-11-09,-0.002516139235956394,-0.002516139235956394,-0.002516139235956394,-0.002516139235956394
2022-11-10,-0.007093725904609771,-0.007093725904609771,-0.007093725904609771,-0.007093725904609771
2022-11-11,0.017833173247033374,0.017833173247033374,0.017833173247033374,0.017833173247033374
2022-11-14,-0.0011198455015547504,-0.0011198455015547504,-0.0011198455015547504,-0.0011198455015547504
2022-11-15,0.004050924260950772,0.004050924260950772,0.004050924260950772,0.004050924260950772
2022-11-16,0.0003396111515991951,0.0003396111515991951,0.0003396111515991951,0.0003396111515991951
2022-11-17,-0.00357149639481924,-0.00357149639481924,-0.00357149639481924,-0.00357149639481924
2022-11-18,-0.00197613371355454,-0.00197613371355454,-0.00197613371355454,-0.00197613371355454
2022-11-21,-0.008067729540576885,-0.008067729540576885,-0.008067729540576885,-0.008067729540576885
2022-11-22,0.00463933015368867,0.00463933015368867,0.00463933015368867,0.00463933015368867
2022-11-23,0.0012634580983039712,0.0012634580983039712,0.0012634580983039712,0.0012634580983039712
2022-11-24,0.011870949889830174,0.011870949889830174,0.011870949889830174,0.011870949889830174
2022-11-25,0.0015500019600884762,0.0015500019600884762,0.0015500019600884762,0.0015500019600884762
2022-11-28,0.0027008413120686026,0.0027008413120686026,0.0027008413120686026,0.0027008413120686026
2022-11-29,0.00297912654375021,0.00297912654375021,0.00297912654375021,0.00297912654375021
2022-11-30,0.007535634625419174,0.007535634625419174,0.007535634625419174,0.007535634625419174
2022-12-01,0.002886735334004964,0.002886735334004964,0.002886735334004964,0.002886735334004964
2022-12-02,-0.006187396179402005,-0.006187396179402005,-0.006187396179402005,-0.006187396179402005
2022-12-05,0.00026482378562620035,0.00026482378562620035,0.00026482378562620035,0.00026482378562620035
2022-12-06,-0.0031175136590962937,-0.0031175136590962937,-0.0031175136590962937,-0.0031175136590962937
2022-12-07,-0.004411902750398933,-0.004411902750398933,-0.004411902750398933,-0.004411902750398933
2022-12-08,0.002631912360927746,0.002631912360927746,0.002631912360927746,0.002631912360927746
2022-12-09,-0.006058782405979346,-0.006058782405979346,-0.006058782405979346,-0.006058782405979346
2022-12-12,2.977743269738653e-05,2.977743269738653e-05,2.977743269738653e-05,2.977743269738653e-05
2022-12-13,0.0059927938646799905,0.0059927938646799905,0.0059927938646799905,0.0059927938646799905
2022-12-14,0.002810661073194387,0.002810661073194387,0.002810661073194387,0.002810661073194387
2022-12-15,-0.013150934355333654,-0.013150934355333654,-0.013150934355333654,-0.013150934355333654
2022-12-16,-0.00792295301794177,-0.00792295301794177,-0.00792295301794177,-0.00792295301794177
2022-12-19,0.008289956688926514,0.008289956688926514,0.008289956688926514,0.008289956688926514
2022-12-20,-0.0019081205394395617,-0.0019081205394395617,-0.0019081205394395617,-0.0019081205394395617
2022-12-21,-0.01012771964355863,-0.01012771964355863,-0.01012771964355863,-0.01012771964355863
2022-12-22,-0.003942502735851727,-0.003942502735851727,-0.003942502735851727,-0.003942502735851727
2022-12-23,-0.01768316025411787,-0.01768316025411787,-0.008841580127058934,-0.0
2022-12-26,0.011669632893506865,0.011669632893506865,0.0058348164467534325,0.0
2022-12-27,0.006533654614990558,0.006533654614990558,0.003266827307495279,0.0
2022-12-28,-0.0005405150382313817,-0.0005405150382313817,-0.00027025751911569085,-0.0
2022-12-29,0.00377983170092433,0.00377983170092433,0.001889915850462165,0.0
2022-12-30,-0.00471107793689185,-0.00471107793689185,-0.002355538968445925,-0.0
2023-01-02,0.005089583355357918,0.005089583355357918,0.002544791677678959,0.0
2023-01-03,0.00192892762485819,0.00192892762485819,0.000964463812429095,0.0
2023-01-04,-0.010399069487028845,-0.010399069487028845,-0.005199534743514422,-0.0
2023-01-05,-0.0028154392892826285,-0.0028154392892826285,-0.0014077196446413143,-0.0
2023-01-06,-0.007375503705446151,-0.007375503705446151,-0.0036877518527230757,-0.0
2023-01-09,0.013536251708490266,0.013536251708490266,0.006768125854245133,0.0
2023-01-10,-0.010333504750958511,-0.010333504750958511,-0.0051667523754792555,-0.0
2023-01-11,-0.0010299775022909463,-0.0010299775022909463,-0.0005149887511454732,-0.0
